OranfruiRu6Ghr|Oranges|0.71|451|fruits|TriCounty Produce
OranfruiXRPFn1|Oranges|0.73|263|fruits|Simply Fresh
Applfrui8fewZe|Apples|1.21|402|fruits|Simply Fresh
ApplfruiXoT6xG|Apples|1.20|728|fruits|Off the Vine
BanafruipIlluX|Bananas|0.50|207|fruits|TriCounty Produce
BanafruimpRgPO|Bananas|0.50|741|fruits|Off the Vine
AlmofruiPPCLz8|Almonds|0.55|600|fruits|TriCounty Produce
AlmofruidMyKmp|Almonds|0.54|745|fruits|Simply Fresh
BaelfruiX2KvqV|Bael Fruit|0.40|770|fruits|Simply Fresh
Baelfruidjne4e|Bael Fruit|0.39|778|fruits|Off the Vine
